OBJECTID,OFT_1,STREET_O_N,STREET_F_N,STREET_T_N,NETWORK,BRANCH,SECTION,PAVEMENT,BASE,CONST_YR,RENOVATION,SEALCOAT_Y,SEALCOAT_C,OVERLAY_YR,PCI,PCI_BRANCH,LENGTH,COMMENTS_1,COMMENTS_2,INSPECTION,REFNO_ALL,join_X,join_Y,join_Objectid,join_Call_Taken,join_Location,join_Latitude,join_Longitude,join_Ward,join_Community,join_Neighborho,join_Tow_Zone,join_Day,join_Snow_Emerg,distance
"3010","042426031344",42ND ST E,PARK AVE,COLUMBUS AVE,MSA,"260","4",ASPH/CONC,S.GRAN.MAT.,"1964","1998","2008","2",,"83",,"327",,,2011-11-08T00:00:00.000Z,"4803",-93.266529,44.926221,"1436",2019-02-13T00:00:00.000Z,4222 OAKLAND AVE S,44.926221,-93.266529,"8",Nokomis,Regina,"5","2",Westminster,0.00166455280664567
"3011","045204640454",45TH AVE S,46TH ST E,45TH ST E,RES,"2665","7",CONCRETE7,S.GRAN.MAT.,"1975",,,,,,"76","679",,,2014-08-21T00:00:00.000Z,"5178",-93.210167,44.924069,"2576",2019-02-14T00:00:00.000Z,4335 44TH AVE S,44.924069,-93.210167,"12",Longfellow,Hiawatha,"6","3",Westminster,0.00276917307880207
"3012","045204440434",45TH AVE S,44TH ST E,43RD ST E,RES,"2665","7",CONCRETE7,S.GRAN.MAT.,"1975",,,,,,"76","662",,,2014-08-21T00:00:00.000Z,"5180",-93.208949,44.926274,"4217",2019-02-13T00:00:00.000Z,4220 45TH AVE S,44.926274,-93.208949,"12",Longfellow,Hiawatha,"6","2",Westminster,0.00104711224097856
"3013","045204240414",45TH AVE S,42ND ST E,41ST ST E,RES,"2670","10",ASPHALT7,CLASS 2,"1977",,,,"2008",,"91","661",,,2014-06-05T00:00:00.000Z,"5182",-93.208949,44.926274,"4217",2019-02-13T00:00:00.000Z,4220 45TH AVE S,44.926274,-93.208949,"12",Longfellow,Hiawatha,"6","2",Westminster,0.00076516171884761
"3014","045204040394",45TH AVE S,40TH ST E,39TH ST E,RES,"2670","10",ASPHALT7,CLASS 2,"1977",,,,"2008",,"91","662",,,2014-06-05T00:00:00.000Z,"5184",-93.207832,44.932486,"3708",2019-02-13T00:00:00.000Z,4530 39TH ST E,44.932486,-93.207832,"12",Longfellow,Howe,"6","2",Westminster,0.00110721171003065
"3015","050401120122",50TH ST E,11TH AVE S,12TH AVE S,RES,"2634","15",ASPHALT7m,S.GRAN.MAT.,"1972",,,,"2011",,"88","402",,,2014-08-14T00:00:00.000Z,"5670",-93.26122,44.912302,"844",2019-02-13T00:00:00.000Z,4952 ELLIOT AVE S,44.912302,-93.26122,"11",Nokomis,Northrop,"6","2",Westminster,0.0022769740416674
"3016","039918041715",39TH ST W,HARRIET AVE,GRAND AVE S,RES,"2686","9",ASPHALT7m,CRUSH.CONC,"1978",,"1992","2",,,"63","335",,,2012-09-25T00:00:00.000Z,"4470",-93.282972,44.93176,"3562",2019-02-13T00:00:00.000Z,3914 PLEASANT AVE,44.93176,-93.282972,"8",Southwest,King Field,"5","2",Westminster,0.00149492989156571
"3017","040031063007",40TH AVE N,UPTON AVE N,THOMAS AVE N,RES,"2610","10",CONCRETE7,S.GRAN.MAT.,"1969",,,,,,"82","330",,,2012-05-01T00:00:00.000Z,"4481",-93.313137,45.025948,"2999",2019-02-13T00:00:00.000Z,2618 39TH AVE N,45.025948,-93.313137,"4",Camden,Victory,"1","2",Westminster,0.00180536292648522
"3018","040029112823",40TH AVE N,SHERIDAN AVE N,RUSSELL AVE N,RES,"2610","10",CONCRETE7,S.GRAN.MAT.,"1969",,,,,,"82","330",,,2012-05-01T00:00:00.000Z,"4483",-93.312854,45.029545,"3081",2019-02-13T00:00:00.000Z,2612 41ST AVE N,45.029545,-93.312854,"4",Camden,Victory,"1","2",Westminster,0.00193282524829572
"3019","040018221703",40TH AVE N,HUMBOLDT AVE N,GIRARD AVE N,RES,"2636","9",CONCRETE7,S.GRAN.MAT.,"1972",,,,,,"87","320",,,2011-05-12T00:00:00.000Z,"4486",-93.296981,45.027309,"4735",2019-02-14T00:00:00.000Z,3955 GIRARD AVE N,45.027309,-93.296981,"4",Camden,Webber - Camden,"1","3",Westminster,0.00030968306885156
"3020","040017031617",40TH AVE N,GIRARD AVE N,FREMONT AVE N,RES,"2636","9",CONCRETE7,S.GRAN.MAT.,"1972",,,,,,"87","329",,,2011-05-12T00:00:00.000Z,"4487",-93.296981,45.027309,"4735",2019-02-14T00:00:00.000Z,3955 GIRARD AVE N,45.027309,-93.296981,"4",Camden,Webber - Camden,"1","3",Westminster,0.000309628465697699
"3021","040016171515",40TH AVE N,FREMONT AVE N,EMERSON AVE N,RES,"2636","9",CONCRETE7,S.GRAN.MAT.,"1972",,,,,,"87","328",,,2011-05-12T00:00:00.000Z,"4488",-93.29447,45.027358,"2603",2019-02-14T00:00:00.000Z,3955 EMERSON AVE N,45.027358,-93.29447,"4",Camden,Webber - Camden,"1","3",Westminster,0.00024210276002822
"3022","040015151417",40TH AVE N,EMERSON AVE N,DUPONT AVE N,RES,"2636","9",CONCRETE7,S.GRAN.MAT.,"1972",,,,,,"87","328",,,2011-05-12T00:00:00.000Z,"4489",-93.29447,45.027358,"2603",2019-02-14T00:00:00.000Z,3955 EMERSON AVE N,45.027358,-93.29447,"4",Camden,Webber - Camden,"1","3",Westminster,0.000243246067270953
"3023","122118021820",BROADWAY ST NE,HARDING ST NE,HOOVER ST NE,MSA,"333","2",ASPH/CONC,CLASS 4,"1964",,,,"2010","100",,"1027",,,2010-11-01T00:00:00.000Z,"6912",-93.220301,44.991363,"3872",2019-02-13T00:00:00.000Z,1108 23RD AVE SE,44.991363,-93.220301,"1",University,Como,"4","2",Westminster,0.00740814260564552
"3024","036032073401",36TH AVE N,MEMORIAL PKWY,XERXES AVE N,PRKBD,MEMORL,"1",ASPHALT,CLASS 5,"1975","2011","2013","1",,"100",,"174",,,2011-11-01T00:00:00.000Z,"3916",-93.315099,45.020465,"4167",2019-02-13T00:00:00.000Z,2808 36TH AVE N,45.020465,-93.315099,"4",Camden,Cleveland,"1","2",Westminster,0.00332477790177585
"3025","131134023306",SOUTH CEDAR LAKE RD,XERXES AVE S,WASHBURN AVE S,RES,"2989","20",ASPHALT7m,S.GRAN.MAT.,"1973","2005","2006","1",,,"89","378",,,2014-06-03T00:00:00.000Z,"11282",-93.312124,44.976147,"2253",2019-02-14T00:00:00.000Z,33 SHERIDAN AVE N,44.976147,-93.312124,"7",Calhoun Isle,Bryn - Mawr,"3","3",Westminster,0.00838901350759543
"3026","131130082912",SOUTH CEDAR LAKE RD,THOMAS AVE S,SHERIDAN AVE S,RES,"2659",21A,ASPHALT7m,S.GRAN.MAT.,"1973",,,,"2010",,"90","453",,,2013-07-18T00:00:00.000Z,"11286",-93.312124,44.976147,"2253",2019-02-14T00:00:00.000Z,33 SHERIDAN AVE N,44.976147,-93.312124,"7",Calhoun Isle,Bryn - Mawr,"3","3",Westminster,0.00425369778531967
"3027","045032073401",45TH AVE N,MEMORIAL PKWY,XERXES AVE N,CSAH,"009","-",ASPHALT,UNKNOWN,,,,,,,,"162",,,,"5146",-93.31808,45.039234,"2707",2019-02-14T00:00:00.000Z,4553 WASHBURN AVE N,45.039234,-93.31808,"4",Camden,Victory,"1","3",Westminster,0.00287087093865945
"3028",0374M55N1410,37TH ST E,HIAWATHA AVE,DIGHT AVE,MSA,"252","1",CONCRETE,UNKNOWN,"1955",,,,,"35",,"480",Pavement Exception: HIAWATHA - OLD RR ROW WAS PAVED W/ ASPH. IN 1988 AS PART OF HIA. PROJ.,,2013-09-19T00:00:00.000Z,"4204",-93.228169,44.93595,"3798",2019-02-13T00:00:00.000Z,3028 37TH ST E,44.93595,-93.228169,"12",Longfellow,Howe,"6","2",Westminster,1.28804866090682e-05
"3029","055913502807",55TH ST W,CUMBERLAND RD,RICHMOND CURV,RES,"2755","13",ASPHALT7,CRUSH.CONC,"1982",,,,"2012",,"100","385",,,2012-11-01T00:00:00.000Z,"6164",-93.312884,44.904365,"2394",2019-02-14T00:00:00.000Z,2601 ROBBINS ST S,44.904365,-93.312884,"13",Southwest,Armatage,"5","3",Westminster,0.00108556191244527
"3030","055926112508",55TH ST W,PENN AVE S,OLIVER AVE S,RES,"2769","9",ASPHALT7,CRUSH.CONC,"1983",,"1994","2",,,"65","331",,,2012-10-02T00:00:00.000Z,"6166",-93.306158,44.902808,"3986",2019-02-13T00:00:00.000Z,5512 NEWTON AVE S,44.902808,-93.306158,"13",Southwest,Armatage,"5","2",Westminster,0.00131452353247609
"3031","122704000410",BRYANT AVE N,40TH AVE N,41ST AVE N,RES,"2636","6",CONCRETE7,S.GRAN.MAT.,"1972",,,,,,"87","659",,,2011-05-12T00:00:00.000Z,"6952",-93.290633,45.029226,"3873",2019-02-13T00:00:00.000Z,4056 BRYANT AVE N,45.029226,-93.290633,"4",Camden,Webber - Camden,"1","2",Westminster,3.81521178502631e-07
"3032","122704500460",BRYANT AVE N,45TH AVE N,46TH AVE N,MSA,"163","1",ASPH/CONC,S.GRAN.MAT.,"1964",,"2003","3",,"48",,"652",,,2011-08-24T00:00:00.000Z,"6957",-93.291306,45.036631,"4364",2019-02-13T00:00:00.000Z,4424 BRYANT AVE N,45.036631,-93.291306,"4",Camden,Lind - Bohanon,"1","2",Westminster,0.00010334237401562
"3033","122704700480",BRYANT AVE N,47TH AVE N,48TH AVE N,MSA,"163","1",ASPH/CONC,S.GRAN.MAT.,"1964",,"2003","3",,"48",,"661",,,2011-08-24T00:00:00.000Z,"6959",-93.291847,45.040324,"1028",2019-02-13T00:00:00.000Z,912 47TH AVE N,45.040324,-93.291847,"4",Camden,Lind - Bohanon,"1","2",Westminster,0.000396738870283945
"3034","122704900500",BRYANT AVE N,49TH AVE N,50TH AVE N,MSA,"163","1",ASPH/CONC,S.GRAN.MAT.,"1964",,"2003","3",,"48",,"658",,,2011-08-24T00:00:00.000Z,"6961",-93.290325,45.04606,"4295",2019-02-13T00:00:00.000Z,5014 ALDRICH AVE N,45.04606,-93.290325,"4",Camden,Lind - Bohanon,"1","2",Westminster,0.0011970605738658
"3035","122705200530",BRYANT AVE N,52ND AVE N,53RD AVE N,MSA,"163","1",ASPH/CONC,S.GRAN.MAT.,"1964",,"2003","3",,"48",,"660",,,2011-08-24T00:00:00.000Z,"6964",-93.29284,45.049979,"1971",2019-02-14T00:00:00.000Z,5221 COLFAX AVE N,45.049979,-93.29284,"4",Camden,Lind - Bohanon,"1","3",Westminster,0.00132256742850927
"3036","122811040569",BRYANT AVE S,ALDRICH AVE S,56TH ST W,RES,"2791","9",ASPHALT7,CRUSH.CONC,"1984",,"1994","2",,,"63","365",,,2013-08-08T00:00:00.000Z,"6968",-93.292221,44.899851,"2372",2019-02-14T00:00:00.000Z,5645 COLFAX AVE S,44.899851,-93.292221,"13",Southwest,Kenny,"5","3",Westminster,0.00150589611527161
"3037","122805690559",BRYANT AVE S,56TH ST W,55TH ST W,RES,"2791","9",ASPHALT7,CRUSH.CONC,"1984",,"1994","2",,,"63","661",,,2013-08-08T00:00:00.000Z,"6969",-93.289662,44.904773,"4084",2019-02-13T00:00:00.000Z,5410 ALDRICH AVE S,44.904773,-93.289662,"13",Southwest,Kenny,"5","2",Westminster,0.00190480107725211
"3038","122805590549",BRYANT AVE S,55TH ST W,54TH ST W,RES,"2791","9",ASPHALT7,CRUSH.CONC,"1984",,"1994","2",,,"63","660",,,2013-08-08T00:00:00.000Z,"6970",-93.289662,44.904773,"4084",2019-02-13T00:00:00.000Z,5410 ALDRICH AVE S,44.904773,-93.289662,"13",Southwest,Kenny,"5","2",Westminster,0.00117613972607554
"3039","045203640354",45TH AVE S,36TH ST E,35TH ST E,RES,"2794","3",ASPHALT7,CRUSH.CONC,"1983",,"1993","2",,,"61","659",,,2013-08-26T00:00:00.000Z,"5188",-93.210046,44.941804,"4269",2019-02-13T00:00:00.000Z,3340 44TH AVE S,44.941804,-93.210046,"2",Longfellow,Cooper,"6","2",Westminster,0.00238583331183858
"3040","045203440334",45TH AVE S,34TH ST E,33RD ST E,RES,"2713","9",ASPHALT7,CRUSH.CONC,"1982",,,,"2013",,"100","658",,,2013-11-01T00:00:00.000Z,"5190",-93.208751,44.944539,"4191",2019-02-13T00:00:00.000Z,3216 45TH AVE S,44.944539,-93.208751,"2",Longfellow,Cooper,"6","2",Westminster,0.00122631046410479
"3041","049401620172",49TH ST E,16TH AVE S,17TH AVE S,RES,"2634","16",ASPHALT7m,S.GRAN.MAT.,"1973",,,,"2011",,"88","331",,,2014-08-14T00:00:00.000Z,"5576",-93.249635,44.916792,"2850",2019-02-13T00:00:00.000Z,4752 17TH AVE S,44.916792,-93.249635,"11",Nokomis,Northrop,"6","2",Westminster,0.00252791220356266
"3042","049401720182",49TH ST E,17TH AVE S,18TH AVE S,RES,"2634","16",ASPHALT7m,S.GRAN.MAT.,"1973",,,,"2011",,"88","331",,,2014-08-14T00:00:00.000Z,"5577",-93.249635,44.916792,"2850",2019-02-13T00:00:00.000Z,4752 17TH AVE S,44.916792,-93.249635,"11",Nokomis,Northrop,"6","2",Westminster,0.00251889292112805
"3043","049433290282",49TH ST E,WOODLAWN BLVD,28TH AVE S,RES,"2613","22",CONCRETE7,S.GRAN.MAT.,"1969",,,,,,"78","330",,,2013-10-21T00:00:00.000Z,"5579",-93.232172,44.912415,"706",2019-02-12T00:00:00.000Z,5006 28TH AVE S,44.912415,-93.232172,"12",Nokomis,Keewaydin,"6","1",Westminster,0.00198815636736518
"3044","040011032229",40TH AVE N,ALDRICH AVE N,LYNDALE AVE N,RES,"2636","9",CONCRETE7,S.GRAN.MAT.,"1972",,,,,,"87","328",,,2011-05-12T00:00:00.000Z,"4493",-93.289031,45.027568,"4367",2019-02-13T00:00:00.000Z,620 40TH AVE N,45.027568,-93.289031,"4",Camden,Webber - Camden,"1","2",Westminster,8.54778367895341e-06
"3045","040000453308",40TH AVE N,4TH ST N,WASHINGTON AVE N,LOCAL,"-","-",UNPAVED,UNKNOWN,,,,,,,,"53",,,,"4496",-93.286864,45.030273,"2780",2019-02-14T00:00:00.000Z,915 39TH AVE N,45.030273,-93.286864,"4",Camden,Camden Industrial,"1","3",Westminster,0.00327325742152832
"3046","043031063007",43RD AVE N,UPTON AVE N,THOMAS AVE N,RES,"2615","17",CONCRETE7,S.GRAN.MAT.,"1970",,,,,,"86","329",,,2013-06-05T00:00:00.000Z,"4886",-93.310081,45.032505,"639",02/14/2019 02:13pm,"4239 Queen avenue North,Minneapolis,MN",45.032505,-93.310081,"4",Camden,Victory,"1","3",Westminster,0.00366555461153243
"3047","043029112823",43RD AVE N,SHERIDAN AVE N,RUSSELL AVE N,RES,"2615","17",CONCRETE7,S.GRAN.MAT.,"1970",,,,,,"86","330",,,2013-06-05T00:00:00.000Z,"4888",-93.310081,45.032505,"639",02/14/2019 02:13pm,"4239 Queen avenue North,Minneapolis,MN",45.032505,-93.310081,"4",Camden,Victory,"1","3",Westminster,0.00133712224718568
"3048","043027022610",43RD AVE N,QUEEN AVE N,PENN AVE N,RES,"2615","17",CONCRETE7,S.GRAN.MAT.,"1970",,,,,,"86","330",,,2013-06-05T00:00:00.000Z,"4890",-93.310081,45.032505,"639",02/14/2019 02:13pm,"4239 Queen avenue North,Minneapolis,MN",45.032505,-93.310081,"4",Camden,Victory,"1","3",Westminster,0.000921293678867719
"3049","043023302221",43RD AVE N,MORGAN AVE N,LOGAN AVE N,RES,"2725","9",ASPHALT7m,S.GRAN.MAT.,"1979",,"1999","3",,,"70","330",,,2011-06-21T00:00:00.000Z,"4894",-93.304484,45.03337,"3193",2019-02-13T00:00:00.000Z,1916 43RD AVE N,45.03337,-93.304484,"4",Camden,Webber - Camden,"1","2",Westminster,5.87320785753923e-07
"3050","043021052002",43RD AVE N,KNOX AVE N,JAMES AVE N,RES,"2725","9",ASPHALT7m,S.GRAN.MAT.,"1979",,"1999","3",,,"70","329",,,2011-06-21T00:00:00.000Z,"4896",-93.30102,45.033072,"2485",2019-02-14T00:00:00.000Z,4249 JAMES AVE N,45.033072,-93.30102,"4",Camden,Webber - Camden,"1","3",Westminster,0.000283503448655735
"3051","043018221703",43RD AVE N,HUMBOLDT AVE N,GIRARD AVE N,RES,"2636","11",CONCRETE7,S.GRAN.MAT.,"1972",,,,,,"87","328",,,2011-05-12T00:00:00.000Z,"4899",-93.298083,45.032742,"202",02/13/2019 12:26pm,"4234 Humboldt ave n ,Minneapolis,MN",45.032742,-93.298083,"4",Camden,Webber - Camden,"1","2",Westminster,0.000601870476858545
"3052","043014173316",43RD AVE N,DUPONT AVE N,WEBBER PKWY,RES,"2636","11",CONCRETE7,S.GRAN.MAT.,"1972",,,,,,"87","374",,,2011-05-12T00:00:00.000Z,"4903",-93.289437,45.031896,"1887",2019-02-14T00:00:00.000Z,4205 ALDRICH AVE N,45.031896,-93.289437,"4",Camden,Webber - Camden,"1","3",Westminster,0.00283160361095539
"3053","043248410584",43RD AVE S,MN-62 FR RD S,58TH ST E,RES,"2738","2",ASPHALT7,CRUSH.CONC,"1987",,"1996","2",,,"64","264",,,2013-08-02T00:00:00.000Z,"4905",-93.207662,44.897562,"2488",2019-02-14T00:00:00.000Z,5819 46TH AVE S,44.897562,-93.207662,"12",Nokomis,Morris Park,"6","1",Westminster,0.00385859731445666
"3054","055923312222",55TH ST W,MORGAN AVE S,LOGAN AVE S,RES,"2769","9",ASPHALT7,CRUSH.CONC,"1983",,"1994","2",,,"65","329",,,2012-10-02T00:00:00.000Z,"6169",-93.306158,44.902808,"3986",2019-02-13T00:00:00.000Z,5512 NEWTON AVE S,44.902808,-93.306158,"13",Southwest,Armatage,"5","2",Westminster,0.0014233565284853
"3055","055919041850",55TH ST W,IRVING AVE S,HUMBOLDT CIR,RES,"2791","13",ASPHALT7,CRUSH.CONC,"1984",,"1994","2",,,"63","350",,,2013-08-08T00:00:00.000Z,"6173",-93.300789,44.902933,"2628",2019-02-14T00:00:00.000Z,5445 JAMES AVE S,44.902933,-93.300789,"13",Southwest,Kenny,"5","3",Westminster,0.00110629064801662
"3056","055916181516",55TH ST W,FREMONT AVE S,EMERSON AVE S,RES,"2791","13",ASPHALT7,CRUSH.CONC,"1984",,"1994","2",,,"63","329",,,2013-08-08T00:00:00.000Z,"6176",-93.29474,44.903113,"2453",2019-02-14T00:00:00.000Z,5515 EMERSON AVE S,44.903113,-93.29474,"13",Southwest,Kenny,"5","3",Westminster,0.00017470138811109
"3057","055913381228",55TH ST W,COLFAX AVE S,BRYANT AVE S,RES,"2791","13",ASPHALT7,CRUSH.CONC,"1984",,"1994","2",,,"63","330",,,2013-08-08T00:00:00.000Z,"6179",-93.289662,44.904773,"4084",2019-02-13T00:00:00.000Z,5410 ALDRICH AVE S,44.904773,-93.289662,"13",Southwest,Kenny,"5","2",Westminster,0.00190480107725211
"3058","055911042230",55TH ST W,ALDRICH AVE S,LYNDALE AVE S,RES,"2791","13",ASPHALT7,CRUSH.CONC,"1984",,"1994","2",,,"63","331",,,2013-08-08T00:00:00.000Z,"6181",-93.287095,44.902616,"3443",2019-02-13T00:00:00.000Z,5522 GARFIELD AVE S,44.902616,-93.287095,"11",Southwest,Windom,"5","2",Westminster,0.00136571821420521
"3059","055917011804",55TH ST W,GARFIELD AVE,HARRIET AVE,RES,"2629","20",ASPHALT7m,S.GRAN.MAT.,"1971",,,,"2009",,"100","331",,,2009-11-01T00:00:00.000Z,"6183",-93.287095,44.902616,"3443",2019-02-13T00:00:00.000Z,5522 GARFIELD AVE S,44.902616,-93.287095,"11",Southwest,Windom,"5","2",Westminster,0.000664853321894236
"3060","055917152615",55TH ST W,GRAND AVE S,PLEASANT AVE,RES,"2629","20",ASPHALT7m,S.GRAN.MAT.,"1971",,,,"2009",,"100","330",,,2009-11-01T00:00:00.000Z,"6185",-93.283307,44.90307,"3605",2019-02-13T00:00:00.000Z,5504 PLEASANT AVE,44.90307,-93.283307,"11",Southwest,Windom,"5","2",Westminster,0.000232921132317923
"3061","056424050012",56TH ST E,NICOLLET AVE,1ST AVE S,RES,"2629",19A,ASPHALT7m,S.GRAN.MAT.,"1971",,,,"2010",,"100","330",,,2010-11-01T00:00:00.000Z,"6186",-93.277026,44.901799,"3797",2019-02-13T00:00:00.000Z,5556 1ST AVE S,44.901799,-93.277026,"11",Southwest,Windom,"5","2",Westminster,0.000279222315764523
"3062","056426182603",56TH ST E,PORTLAND AVE,PARK AVE,RES,"2786","8",ASPHALT7,CRUSH.CONC,"1988",,"2000","2",,,"69","286",,,2013-09-23T00:00:00.000Z,"6188",-93.265333,44.90237,"4184",2019-02-13T00:00:00.000Z,5528 PARK AVE S,44.90237,-93.265333,"11",Nokomis,Diamond Lake,"5","2",Westminster,0.000813109982536848
"3063","110105390529",ABBOTT AVE S,53RD ST W,52ND ST W,RES,2612S,"5",ASPHALT7,BIT.ST.SOIL,"1969",,"1998","3",,,"60","658",Sealcoat Exception: 50TH - 49TH ST WAS SEALCOATED IN 2004 ALSO.,,2013-09-19T00:00:00.000Z,"6572",-93.322666,44.907802,"4125",2019-02-13T00:00:00.000Z,5240 ABBOTT AVE S,44.907802,-93.322666,"13",Southwest,Fulton,"5","2",Westminster,1.580612134304e-05
"3064","132313342821",CHESTER ST,CLINTON AVE,ROSLYN PL,RES,"2780","10",ASPHALT7,CRUSH.CONC,"1981",,"1998","2",,,"58","510",,,2014-05-15T00:00:00.000Z,"7220",-93.272518,44.899148,"4069",2019-02-13T00:00:00.000Z,5718 CLINTON AVE S,44.899148,-93.272518,"11",Nokomis,Diamond Lake,"5","2",Westminster,0.00425798964166522
"3065","132401550125",CHESTNUT AVE,15TH ST N,12TH ST N,LOCAL,CHEST,"1",ASPH/CONC,UNKNOWN,"1939",,,,"2014","100",,"689",,,2014-11-01T00:00:00.000Z,"7223",-93.289855,44.980134,"3993",2019-02-13T00:00:00.000Z,308 BRYANT AVE N,44.980134,-93.289855,"5",Near North,Sumner - Glenwood,"3","2",Westminster,0.00652720927748435
"3066","025019031822",25TH AVE N,IRVING AVE N,HUMBOLDT AVE N,RES,"2614","12",CONCRETE7,S.GRAN.MAT.,"1970",,,,,,"75","472",,,2011-04-29T00:00:00.000Z,"2406",-93.299562,45.00516,"2045",2019-02-14T00:00:00.000Z,2521 IRVING AVE N,45.00516,-93.299562,"5",Near North,Jordan,"1","3",Westminster,0.000134043803487059
"3067","022002201903",22ND AVE N,22ND AVE N,IRVING AVE N,RES,"2614","9",CONCRETE7,S.GRAN.MAT.,"1970",,,"0",,,"75","312",,,2011-04-29T00:00:00.000Z,"2031",-93.298868,45.002399,"3275",2019-02-13T00:00:00.000Z,2230 IRVING AVE N,45.002399,-93.298868,"5",Near North,Jordan,"1","2",Westminster,0.000880336454143084
"3068","132530082824",CHESTNUT AVE W,THOMAS AVE S,RUSSELL AVE S,RES,"2659","27",ASPHALT7m,S.GRAN.MAT.,"1973",,,,"2010",,"90","660",,,2013-07-18T00:00:00.000Z,"7229",-93.312193,44.976341,"4420",2019-02-13T00:00:00.000Z,28 SHERIDAN AVE N,44.976341,-93.312193,"7",Calhoun Isle,Bryn - Mawr,"3","2",Westminster,0.000823096920781092
"3069","132528242703",CHESTNUT AVE W,RUSSELL AVE S,QUEEN AVE S,RES,"2659","27",ASPHALT7m,S.GRAN.MAT.,"1973",,,,"2010",,"90","329",,,2013-07-18T00:00:00.000Z,"7231",-93.312193,44.976341,"4420",2019-02-13T00:00:00.000Z,28 SHERIDAN AVE N,44.976341,-93.312193,"7",Calhoun Isle,Bryn - Mawr,"3","2",Westminster,0.00153645995689782
"3070","332818201403",WINTER ST NE,HOOVER ST NE,DELANO ST NE,MSA,"459","1",CONCRETE9,CLASS 5,"1969",,,,,"56",,"326",,,2011-11-18T00:00:00.000Z,"12368",-93.216397,44.99105,"1290",2019-02-13T00:00:00.000Z,1094 26TH AVE SE,44.99105,-93.216397,"1",University,Como,"4","2",Westminster,0.0023206537143826
"3071","132606040594",CHICAGO AVE,60TH ST E,59TH ST E,MSA,"165","1",ASPH/CONC,UNKNOWN,"1958",,,,"2011","100",,"653",,,2011-11-01T00:00:00.000Z,"7236",-93.261577,44.89644,"1094",2019-02-13T00:00:00.000Z,5836 ELLIOT AVE S,44.89644,-93.261577,"11",Nokomis,Diamond Lake,"6","2",Westminster,0.00127618751537533
"3072","049402920302",49TH ST E,29TH AVE S,30TH AVE S,RES,"2613","22",CONCRETE7,S.GRAN.MAT.,"1969",,,,,,"78","329",,,2013-10-21T00:00:00.000Z,"5581",-93.23098,44.91238,"3208",2019-02-13T00:00:00.000Z,5000 29TH AVE S,44.91238,-93.23098,"12",Nokomis,Keewaydin,"6","2",Westminster,0.0020276227640986
"3073","049403320342",49TH ST E,33RD AVE S,34TH AVE S,RES,"2613","22",CONCRETE7,S.GRAN.MAT.,"1969",,,,,,"78","373",,,2013-10-21T00:00:00.000Z,"5586",-93.221959,44.912611,"766",2019-02-12T00:00:00.000Z,3423 50TH ST E,44.912611,-93.221959,"12",Nokomis,Minnehaha,"6","1",Westminster,0.00200318177893988
"3074","049403520362",49TH ST E,35TH AVE S,36TH AVE S,RES,"2703","9",ASPHALT7,CRUSH.CONC,"1985",,"1995","2",,,"59","329",,,2011-05-31T00:00:00.000Z,"5588",-93.221959,44.912611,"766",2019-02-12T00:00:00.000Z,3423 50TH ST E,44.912611,-93.221959,"12",Nokomis,Minnehaha,"6","1",Westminster,0.00187790890711771
"3075","049403820392",49TH ST E,38TH AVE S,39TH AVE S,RES,"2703","9",ASPHALT7,CRUSH.CONC,"1985",,"1995","2",,,"59","333",,,2011-05-31T00:00:00.000Z,"5591",-93.221959,44.912611,"766",2019-02-12T00:00:00.000Z,3423 50TH ST E,44.912611,-93.221959,"12",Nokomis,Minnehaha,"6","1",Westminster,0.00462244141864124
"3076","049915211416",49TH ST W,EWING AVE S,DREW AVE S,RES,2612S,"12",ASPHALT7,BIT.ST.SOIL,"1969",,"1998","3",,,"60","330",,,2013-09-19T00:00:00.000Z,"5597",-93.325437,44.914563,"3619",2019-02-13T00:00:00.000Z,3522 49TH ST W,44.914563,-93.325437,"13",Southwest,Fulton,"5","2",Westminster,0.00109753394894324
"3077","049913271207",49TH ST W,CHOWEN AVE S,BEARD AVE S,RES,"2559","7",ASPHALT7,CEM.ST.SOIL,"1962",,"2004","2",,,"55","330",,,2013-09-11T00:00:00.000Z,"5599",-93.325437,44.914563,"3619",2019-02-13T00:00:00.000Z,3522 49TH ST W,44.914563,-93.325437,"13",Southwest,Fulton,"5","2",Westminster,0.000331183417746223
"3078","039222030294",39TH AVE S,LAKE ST E,29TH ST E,RES,"2789","3",ASPHALT7m,S.GRAN.MAT.,"1980",,"1994","2",,,"63","660",,,2014-08-13T00:00:00.000Z,"4394",-93.217811,44.948742,"4149",2019-02-13T00:00:00.000Z,2946 38TH AVE S,44.948742,-93.217811,"2",Longfellow,Cooper,"4","2",Westminster,0.00125675538960567
"3079",2230R94E2230,LYNDALE AVE S,I-94 E RAMP,LYNDALE AVE S,MSA,"435",BRG,UNKNOWN,UNKNOWN,,,,"0",,,,"908",,,,"9773",-93.289457,44.96383,"351",02/13/2019 02:55pm,"1910 Bryant ave s ,Minneapolis,MN",44.96383,-93.289457,"10",Calhoun Isle,Lowry Hill East,"3","2",Westminster,0.000933017164656966
"3080","039202642908",39TH AVE S,26TH ST E,SEABURY AVE,RES,"2788","10",ASPHALT7,CRUSH.CONC,"1981",,,,"2013",,"100","266",,,2013-11-01T00:00:00.000Z,"4398",-93.220971,44.957754,"4322",2019-02-13T00:00:00.000Z,2440 35TH AVE S,44.957754,-93.220971,"2",Longfellow,Seward,"4","2",Westminster,0.00483923969435182
